surface	gloss	supergloss	supercompound	display gloss	i	a	COMMENTS/TODOS	alt_gloss	noun/pronoun	phonetic noun	adj/adv	verb	quantifier	conjunction	preposition	affix	interjection	fn	cognates	tok
se	seven			seven	96	210							seven						se (en:0.5:seven; hi:0.2:सात; ar:0.2:سبعة; ru:0.7:Семь; es:0.5:siete; pt:0.6:sete; it:0.6:sete; fr:0.5:sept; fi:0.5:seitsemän; sw:0.2:saba; de:0.3:Sieben); seng (en:0.7:seven; hi:0.2:सात; ar:0.4:سبعة; ru:0.6:Семь; es:0.3:siete; pt:0.6:sete; it:0.6:sete; fr:0.6:sept; fi:0.6:seitsemän; sw:0.2:saba; de:0.3:Sieben); ki (zh:0.6:qi)	
bang	eight			eight	97	212							eight						bang (zh:0.6:八ba=eight)	
noi	nine			nine	98	214							nine						noi (ga:0.7:nui; de:0.7:neun; hi:0.2:नौ; es:0.5:nueve; pt:0.2:nove=nine; it:0.2:nove=nine; fr:0.2:neuf=nine; ); nyu (Tocharian:nyu, zh-en:nine+jiu)	
bau	container			container	99	216	it may seem odd that "container" means "bread", but it is like Chinese bread = flour sack (and it is the same word: bau)	have-thing; have -- but a "have" is a belonging.	container; cavity; enclosure; box; bag; sack; bread			to hug; to contain sth; to enclose sth; to hug sb; to wrap sth							bau (zh:0.8:bao; vi:0.8:bao=bag; es:0.4:bolsa=bag; pt:0.4:bolsa=bag; it:0.4:borsa=bag; fr:0.5:boîte=box; de:0.6:bau; ms:0.2:bekas=container; en:0.2:box/bag; ); be (zh:bei=cup);	tomo
	container-stuff	dough			100				dough											
gu	stuff			stuff/material	101	220			stuff; material; fabric; flesh (of a fruit etc.)		material								gu ( en:0.6:goo); se (tr:Şey=thing; ar))	
ki	air			air	102	222			air; gas; vapor; wind		airlike; gassy; windy (like big-air)	to evaporate; to vaporize sth; to blow on sth							ki (vi:1.0:khí; zh:0.6:qi)	kon
lo	water			water	103	224			water; liquid		wet	to pee (on sth); to melt sth; to liquify sth; to water sth (a plant)							lo (ono:0.7:l*; fr:1.0:l'eau, tok:0.5:telo, en:0.2:liquid, te:0.4:illu; bnt:0.3:li; es:0.2:líquido; pt:0.2:líquido; it:0.2:liquido; fr:0.2:liquide; fil:0.2:likido; ha:0.2:ruwa); swe (zh:shui); di (bnt); su (?:juice);	telo
swe	dirt			dirt	104	226			soil; earth; dirt										swe (es:0.8:suelo; en:0.3:soil; pt:0.3:solo; it:0.3:suolo; fr:0.3:sol;); soi (en:soil); mwa (karelian mua)	ma
kwai	part			part/piece	105	228			part; piece; bit; fraction; degree; small thing; chunk; section; segment		a little; a bit; slightly; part	to separate sth; to part sth; to divide (by sth: with thing; into X parts: to X part); to partition sth; to split sth						fewer; part; some [smallish quantity]; less; fraction; rarely	kwai (zh:1.0:kuai=part; ru:0.3:кусок=piece) ; li (en:little, tpi:liklik, tok:lili), sau (xiao dogo petit chinna chhota cilik liklik mini üçük az, smol, -ito, -chen, -let,; pi (piece; petit), pi (fr, en petit, peu; chi (hi: chota, te: chinna, sn,kg: ch-); fi pieni)	
di	move			move	106	230			movement		moving	to move sth							dong (zh:1.0:dong; ru:0.2:двигаться)	tawa
	no-move	immobile			107				stillness		still; immobile	to immoiblize sth								
ke	break			break	108	234	"DONE consider merging into ""part""
DONE make sure ""cut"" sounds different"		break; damage; injury; tear; split;		broken; damaged; injured; torn	to break sth; to damage sth; to injure sb; to tear sth; to hurt sth; to cut sth; to split sth; to crack sth							ke (ono:0.7; tr:0.4:kırmak=break; es:0.7:quebrar; pt:0.7:quebrar; fr:0.3:casser; ha:0.3:karya; id:0.4:kerusakan=damage; zh:0.1:坏)	
tau	jump			jump	109	236			hop; jump			to hop (over sth); to jump (over sth); to skip sth							tau (zh:0.8:tiao)	
sang	sound			sound	110	238			noise; sound		noisy; sounding	to meow/woof/etc. (depends on lthe animal); to make a noise; to sound sth; to make a sound with sth							sang (es:0.4:sonido=sound; pt:0.3:som=sound; it:0.3:suono=sound; fr:0.3:son=sound; en:0.8:song/sound; zh:0.4:sheng; ar:0.2:صوت=sound; id:0.2:suara=sound; sw:0.3:sauti=sound; tr:0.2:ses); song (es:0.7:sonido=sound; pt:0.7:som=sound; it:0.6:suono=sound; fr:0.8:son=sound; en:0.8:song/sound; zh:0.6:sheng; ar:0.3:صوت=sound; id:0.2:suara=sound; sw:0.2:sauti=sound; tr:0.2:ses)	kalama; mu
geng	against			against/but	111	240	"slightly odd that leaning against a wall is fighting a wall
Lisa: Geng, cuz it sounds like against, gegen"	fight: seek-break	conflict; fight; resistance; attack; onslaught		against; counter	to fight; to argue; to quarrel; to lean against; to push against; to resist; to attack sth			but; though; although; however				geng (de:0.7:gegen; en:0.5:against; zh:0.8:抗=anti); mai (oc:1.0:mai; ig:0.7:ma; it:0.7:ma; pt:0.4:mas; fr:0.8:mais; fi:0.2:mutta; ha:0.2:amma); ba (en:but); dang (zh:dan)	utala
	against-way	anti			112		DEPRECATED COMMENT: this should not be used too much, and it should only carry the meaning of "the opposite of". Most opposites can be formed with "no", e.g. "no-hot" and "no-good".; TODO all-		opposition; inversion; contradiction; inverse		opposite; anti; un-; inverse; inverted; reverse	to reverse sth; to negate sth; to inverse sth;							ang (en:un-); di (la:di)	
gwai	bend			bend	113	244	"TODO: write decision on change vs differ
TODO: clean up all the different definitions of ""different"""	new-direction	bend; curve; turn; change; peculiarity; strangeness; weirdness		curved; bent; weird; strange; odd; peculiar;	to bend sth; to curve sth; to turn (to sth); to change (into sth: direction thing); to change sth							gwai (ono:0.7; zh:0.9:拐弯=bend; zh:0.6:改gai=change); gau (ono); gai (zh:gai=change); cha (es:cambiar=change, zh:cha=difference; sn:shanduko=change); che (en:change; zh:cha=difference)	ante
	no-bend	straight			114						straight; direct; honest	to straighten sth out								
kang	metal			metal/money	115	248			metal; money; cost; price; payment		metallic; shining	to gleam; to make sth shining; to shine; to spend; to buy sth; to sell sth; to pay sb; to rent sth; to hire sb; to employ sb; to cost sth							kang (ono:0.7; ltc:0.2:kim; en:0.4:clang; en:0.2:cash; id:0.5:uang=money; ms:0.5:wang=money; ha:0.2:karfe=metal; ha:0.2:kudi=money); ching (en: ka-ching; zh: jing)	mani
	this-time-metal	cash	now-metal		115				cash											
	yellow-metal	gold			115				gold											
	give-metal	pay			115				spending; shopping			to spend; to pay; to shop								
	metal-place	market			115		alt: give-metal-place	give-metal-big-container	store; market; grocery											
	give-metal-person	customer	pay-person		115				customer											
	law-give-metal	tax	law-pay		115		todo separate out intop fine		taxes			to tax								
	big-metal-place	mall	big-market		115				mal; supermarket											
	small-metal	cheap			115.2						cheap									
	big-metal	expensive			115.3						expensive									
	small-metal-time	sale	cheap time		115.4				sale; rebate											
	sound-metal	bell			116				bell; tuning fork											
	flat-sound-metal	gong	flat-bell		117				gong											
sa	life			life/experience/used for passive	118	274	"decided: don't unify with be
TODO: add this as a passive marker ""it was conquered"" --> ""it lived a conquering"""	life-time/life-thing for experience	life; soul; experience		alive; living; lively; experienced	to live; to experience sth							sa (ce:1.0:са=life/soul, ing:1.0:са=soul; en:0.3:soul; zh:0.2:sheng, gl:0.6:sa=generation/litter/sowing; bg:1.0:са=is; fi:0.2:sielu; de:0.2:Seele; te:0.6:సజీవంగా; vi:0.3:sống)	
pwa	plant			plant	119	276	"plant-water would be good for ""tea"" in the meaning of a tisane. But the plant ""tea"" needs a word, and that would be ""cha"". But if ""cha"" exists, then it may as well mean tisane as well...
Lisa: chose ""su"" because it sounds like tree in southern chinese"		plant; vegetable										pwa (en:0.5:plant; es:0.5:planta; pt:0.5:planta=plant; it:0.2:pianta=plant; fr:0.5:plante; hi:0.3:पौधा=plant); mo/mu (te:mokka; bnt:mou); su (zh:tree)	kasi
wang	yellow			yellow	120	278	"this is the only color with a bespoke atom. although the symmetry is not nice, Trevorese is above all a pragmatic language, and no other atom has a yellow color!
Deprecated comment: Think ""banana color"". (Note that banana is the fundamental fruit in e.g. Tamil). This is the oddest of the color glosses. ""sun color"" was better, but sun was deprecated. energy-color is OK but then 3 colors start in l*. Yellow starting in ""pa-"" is good because it mirrors Telugu pasupu, Hindi pila."	sun-color	yellow		yellow	to become yellow; to make sth yellow							wang (zh:0.8:huang=yellow; yue:1.0:wong4=yellow)	
boi	animal			animal	121	280	I would love "animal" and "human" to both be "being". But it's not pragmatic. humans fundamentally thing of animals as different. Furthermore, "small-being" wants to be both "child" and "bug" ....	being; other-being; be	animal										boi (en:0.9:boi=animal)	soweli
ko	arm			arm/leg	122	282			arm; branch; branch (in a river); fork (in a river); protuberance			To hit something; to strike something							ko (tr:0.8:kol=arm, fi:0.2:käsivarsi=arm; ru:0.7:конечность=limb; sw:0.5:mkono=arm; te:0.6:kola=branch, te:0.6:kottadu=hit, ta:0.4:kai=hand); leng (id:leng; en:limb; en:long); che (te:che=arm); twe (zh:tui=leg); so (zh:shou); ling (en:limb; id:leng)	
	long-arm	reach			123				reach			to reach sth; to reach for sth								
mang	person			person	124	286		being	person; human										mang (id:0.8:mang=uncle; ig:0.2:mmadu=human; te:0.7:మానవుడు=human/మనిషి=man; sw:0.2:mtu; id:0.7:manusia; en:0.8:man; de:0.9:man; fil:0.8:mang=old man; id:01:orang); wang (en:one; id:orang); mu- (bnt)	jan
nau	nose			nose	125	288		point; smell-part	nose			to smell sth							nau (en:0.4:nose; ono:0.4; es:0.3:nariz=nose; pt:0.3:nariz=nose; it:0.4:naso=nose; fr:0.2:nez=nose; ru:0.3:нос=nose; fi:0.2:nenä=nose; de:0.3:Nase=nose; hi:0.3:नाक=nose; ); ti (id:titik; en:titty; en:tip; hi:tikha); gang (zh:exact)	
ka	eat			eat	126	290						to eat sth; to drink sth							ka (hi:0.9:kha; tpi:0.8:kaikai; id:0.3:makan, pcm:0.2:chop=eat; ar:0.1:yakul=eat, sw:0.5:kula=eat, es:0.5:comida=food; pt:0.5:comida=food; sn:0.4:kudya=eat; th:0.2:kin=eat; zh:0.1:喝/he=drink; fi:0.6:ruokaa=food); tin (te:tin); kai (tpi:kaikai); chi (zh:chi), cha (pcm:chop),	moku
	eat-time	meal			127				meal; mealtime											
	small-eat-time	breakfast	small-meal		128		could also be nutaikatai aka early meal, but the series of small medium big is nice here													
	middle-eat-time	lunch	middle-meal		129															
	big-eat-time	dinner	big-meal		130															
pe	play			play/fun	131	300	TODO could be split to "good-time"	good-time; fun	play; game		playful; fun	to have fun; to play (with sth)							pe (en:0.7:play; ru:0.5:веселье=fun; id:0.6:permainan/bermain=game/play, fi:0.7:peli/pelata=game/play)	musi
	no-play	serious			132				seriousness		serious; sobering									
meng	think			think	133	304	"TODO: change to mind; think is mind-feel (or just feel). Also life-see for feel [emotionally] ?
TODO: consider ""gai"" (from concept); also is more different from ""ming"" meaning"		thought; belief; feeling; opinion; mind; sense; common sense; reason (e.g. Vernünft)		theoretical; conceptual; abstract; figurative; thoughtful	to think sth; to think about sth; to believe sth; to feel sth; to opine sth; to consider sth; to reason abth sh; to conceptualize sth; to theorize							meng (es:0.5:mente=mind; pt:0.5:mente=mind; it:0.5:mente=mind; ar:0.2:معتقد=thought; ru:0.5:мнение=opinion; id:0.3:merasa=feeling; fi:0.2:mieleen=mind; sw:0.2:mawazo/imani/maoni/maana=thought/belief/opinion/sense); kwa (fr:croire=to believe)	
	do think of				134							to think about sth; to think of sth								
	think-thing	concept			135				idea; concept											
swang	sour			sour	136	310			acid; sourness		sour; fermented								swang (zh:0.8:suan=sour; de:0.2:sauer=sour; en:0.2:sour; )	
moi	salt			salt/savory	137	312	"Lisa: how about umami powder
needs to have an ""m"" in it for savoring"	umami	salt; umami; savoriness		savory; salty								moi (vi:1.0:muối=salt; ar:0.2:ملح; hi:0.1:नमक; sn:0.3:munyu; ja:0.2:umami; en:0.2:umami; fil:0.2:maalat=salty; ms:0.2:masin)	
swi	sugar			sweet	138	314	"TODO consider change to ""su""
DONE consider change to ""tang"" aka make it the same as ""tongue""...and coincidentally sound like sweet in Chinese! decided: NO because then is ""sugar"" the ""tongue substance"" or some such???"		sugar; sweetness		sweet								swi (en:0.7:sweet, fr:0.2:sucre; ru:0.2:сахар; ar:0.2:سكر; sw:0.2:sukari); tipi (te)	suwi
	flat-time	sleep			139			sleep(dau)	sleep; nap		sleepy; tired	to nap							dau (es:0.8:dormir, fr:0.7:dormir, pt:0.8:dormir, de:0.5:Traum=dream; zh:0.5:jiao=sleep)	lape
mu	female			female	140	318			female; girl; yin; woman		female; feminine								mu (es:0.6:mujer=woman; zh:0.7:母mu=mother; de:0.5:Mutter=mother; pt:0.6:mulher=woman; hi:0.2:महिला=female; ar:0.2:امرأة=woman; sn:0.6:mukadzi=female; sn:0.6:musikana=girl; zh:0.3:nü=girl; vi:0.3:nữ; en:0.0:mother; ha:0.2:mace=female; ru:0.0:мать=mother); nyu (zh:nü; vi:nữ); kwi (en:queen, zh:qi/妻=wife)	meli
gai	male			male	141	320			male; boy; yang; man		male; masculine								yang (zh:yang=masculine;goat); gai (en:1.0:guy, es:0.5:güe=ox/dude); boi (en:boy)	mije
ma	love			love	142	322			love; affection; friendship; care		beloved; dear	to like sth; to love sth; to care for sth; to care about sth							ma (efi:1.0:má, anw:1.0:má, ar:0.6:maħbub=beloved; fil:0.6:mahal=beloved; ha:0.6:masoyi=beloved; sn:0.2:mudiwa=beloved; de:0.7:mag; pt:0.7:ama; it:0.7:ama; fil:0.7:mahalin=love; es:0.7:ama, sw:0.7:mapenzi=affection; sa:0.3:prema, id:0.2:mencintai=love, yrk-xx-tundra:0.1:nya=friend); nya (yrk-xx-tundra:friend)	olin
	hard-love	worry			143		hypercognate: is cuma liom, kümmern		worry; care			to look after sth; to care for sth; to tend sth; to worry about sth								
	self-think	meaning		meaning	144	326	tok has this as an atom		meaning			to mean sth							ming (en:0.8:mean; hi:0.2:मतलब; ar:0.7:معنى; sw:0.7:maana; ha:0.7:ma'ana; vi:0.1:nghĩa; fi:0.2:merkitys; ms:0.2:maksudnya)	
	so no have self-think	meaningless			145				meaninglessness		meaningless									
	energy-think	careful			146		a bit of a weak gloss. this could be its own atom.		attentiveness; contemplation		careful; attentive; well-pondered	to ponder sth; to think carefully about sth; to contemplate sth								
	energy-see	check			147		a bit of a weak gloss. could be combined with a "care"/"attentive" atom		check			to check sth; to look carefully at sth; to examine ath; to inspect sth; to investigate sth								
	energy-see-place	checkpoint	check-place		148				checkpoint; security (airport)											
mo	mark			mark	149	336	"DONE: ""make write different from represent"" —> write —> flat-symbol
DONE: change core meaning to ""mark"""	symbol	mark; letter; sign; representation; fleck		written	to mark sth; to write sth							mo (fr:0.9:mot=word; te:0.2:maata=word; es:0.2:marca=mark; pt:0.2:marca=mark; it:0.2:marca?=mark; fr:0.2:marque=mark; fil:0.2:marka=mark; fi:0.2:merkki=mark; de:0.2:markieren=mark; fil:0.2:menulis=write; ar:0.2:مكتوب=written; )	
	mark-person	writer			149.4				writer; author											
	love--all-think	picky	love-decide		150	340	verbal compound; one of the few compounds with a V syllable in the middle	fixed-thought; what-thing-think			decisive; picky; choosy								chu (en:choose, sw:chagua=choose; vi:để chọn=to pick; th:thichalueak=to choose sth; th:thichalueak=to pick sth; th:chuchichukchik=choosy; zh:xuan; en:judge) ; swa (zh:xun; fr:choix); kwa/mwa (sw:kuamua)	
ai	egg			egg	151	342			egg										ai (de:1.0:ei; ru:0.7:яйцо=egg; sw:0.9:yai=egg; sn:0.6:zai=egg; ha:0.6:kwai=egg)	
mau	cat			cat	152	344	note: a "transition metal" (aka an atom that is included that wouldn't be in the simplest of languages, but it is natural for a human language to be OK with it.		cat		catlike								mau (zh:1.0:猫mao=cat; ono:0.7:meow; en:0.7:meow; vi:0.6:mèo=cat)	
kau	cow			cow	153	346	note: a "transition metal" (aka an atom that is included that wouldn't be in the simplest of languages, but it is natural for a human language to be OK with it.		cow										kau (en:1.0:cow; hi:0.3:गाय=cow; ru:0.3:корова=cow; de:0.7:Kuh)	
	what-talk	ask			154				request; ask; consultation; question; guess			to request sth; to ask (sth of sb); to consult sb; to question sth; to guess sth							pwi (en:0.7:please; hi:0.3:पूछना=ask; ru:0.2:просить=ask; es:0.2:preguntar=ask; pt:0.2:perguntar=ask; fi:0.2:pyytää=request), pi (en:please); ba (zh:ba)	
	what-talk-time	interview	ask-time		155				interview; interrogation			to inverview; to interrogate								
	what-talk-person	interviewer	ask-person		156				interviewer; reporter											
	be-thing	condition			157				case; situation; condition; phenomenon; circumstance					if						
	self-do	become			158		TODO: combine with self-way?		event; happening; process; course of events			to become sth; to happen (to sb: direction being)								
	new-be	create			159		"new" as a verb would be "to refresh" etc.		creation			to build sth; to create sth; to make sth; to produce sth; to manufacture sth								
	small-end	tip			160				point; tip; tree-top; angle; spike		sharp; prickly; pointy; pointed; precise; exact; at the precise location	to prick; to prickle								
	no-life	die			161			life-end	death		dead	to die; to kill sb/sth								moli
	time self				162						at that very time			as soon as						
	hard-have	keep			163				possession; property			to keep sth;								
	this-number	they			164			this-group	they; them											
	that-number	themyonder			165			this-group	they; them											
	me-number	we			166			me-group	we; us											
	you-number	ye			167			you-group	ye; you (pl); y'all											
	self-way	nature			168		cmp. 自然		nature; personality; characteristic; trait; peculiarity		natural; naturally; characteristic;	to naturalize sth					of course			
	self-way-flat	quality	nature-flat		169.5				quality											
	big-self-way	naturaleza	big-nature		169		cmp. 大自然		nature; the great outdoors; the wilds											
	do-thing	device			170			self-do	machine; robot; mechanism			to mechanize sth								
	self-do-thing	machine	self-device		171			self-do	machine; robot; mechanism			to mechanize sth								
	self-do-thing--get-think	machine_learning	machine-learn		172				machine learning											
	see-do-thing	camera	see-device		173				camera; video-recorder; CCTV			to video-tape; to take a picture								
	move-see	video			174				video; movie											
	move-see-do-thing	videocamera	video-device		175				<disambiguation_form> video-recorder; CCTV			to video-tape								
	no-do-thing	passive	no-do-thing		176						passive; idle									
	think-self	selfish			177		verb-initial compound, like "want-X" or "have-X"		selfishness		selfish									
	self-think-thing	computer	self-think-thing		178		aka thinking machine	think-self-do-thing	computer		computational	to compute sth								
	no-good	bad			179				badness; evil		bad; evil; dastardly; mean	to wrong sb; to do sb wrong								ike
	no-good-self-do	disaster	bad-become		180				disaster											
	this-time-no	no_longer	now-no		181						no longer									
	other-time	again			182				repetition; copy		repetitive; again	to repeat sth; to echo sth/sb; to do sth again						again		
	other-thing	also			183		Note: this can be used to mean "and" in e.g. a list where you aren't saying that these things are together. DONE: consider deprecate in favor of other-thing				also; and; too; as well			or					wau (sw:au=or; ar:aw=or; en:or); ye (hi); to (ln, kg); wala (dyu, wo); abi (pcm); mala (ff);	anu
	arm-have	grasp			184		to grasp something is the same as to understand sth in Englsish; same is true for zh 掌握 把握. Aka hand-have	anti-give	grip; grasp			to take sth (from sb: of person); to grab sth (from sb: of person); to seize sth (from sb: of person); to wrest sth (from sb: of person); to understand sb/sth; to catch sth; to clench hand; to grip sth; to grasp sth; to carry sth; to bring sth swh; to cope with sth; do deal with sth; to handle sth								
	arm-end-have thing like small-distance				185							to cling to sth								
	no-go	stop			186				stop		stopped	to stop sth; to halt sth; to desist; to discontinue sth; [ to do ] to stop doing sth								pake
	do go see person				187							to visit sb								
	this-go	come			188		used to be "go this place", but "go" feels so different from coming....		arrival			to come (to swh); to visit swh								
	this-go-person	visitor	come-person		189				visitor; guest											
	place-be	stay			190				wait		waiting	to wait (for sth: direction thing); to stay swh								
	all-do	success			191				success; match; perfect match; fit		succeeded; completed; fitting; suiting; perfect	to succeed (in doing sth); to complete sth; to fit sb/sth; to go well with sth; to suit sb/sth; to match sth								
	no-do	failure			192		Note: merged "undo" and "fail"	no-truth-do; no-success	mistake; error; failure		failed; mistaken	to be mistaken; to mistake sth; to fail (at sth); to make a mistake; to fail to do sth; to undo sth; to remove sth; to take sth off								
	no can no-end-do				193		; TODO all-				unmistakeable									
	all-good	perfect			194		; TODO all-		perfection		perfect	to perfect sth								
	no-thing	except			195				exception (?)					except			you're welcome			
	thing-no-thing	contradiction	thing-no-thing		196		unexplicable note: "upside-down"	big-no; topno-top	contradiction; paradox		contradictory; paradoxical	to contradict sth								
	one-one	eleven			197				eleven											
	one-no	ten			198			ten					ten							
	one-two	twelve			199				twelve											
	new-think	idea			200				idea			to come up with sth; to invent sth								
	inside-way	obstacle			201		aka it's in my way		obstacle; hindrance; block; blockage		blocked	to hinder sth; to block sth								
	no-one-place	some/vague	no-specific		202				vagueness; obfuscity		vague; general; obfuscated; diluted; some; general	to obfuscate sth; to dilute sth	some					some		
	small-distance	close			203		DONE: consider merging "area" into this; DONE almost and barely are the same —> barely is not "just"	no-distance	closeness; area		near; close; close by; local; almost	to get closer (to sth); to near sth			around (temporal); near (approximate location); about; around (spatial)					
	of back				204						from the back									
	of front				205						from the front									
	of-back-go	follow	of-back-go		206		aka from back go		dog; chase; hunt; faithfulness		faithful; loyal; doglike	to follow sb/sth; to chase sb/sth; to be faithful (to sb)								alasa
	big-good	dog			207		alternate gloss: deyago, aka faithful (following) animal. with current glosses, this is deyago(mang), which sounds both like dog and 狗!!	of-back-go--animal	<disambiguation_form> dog		doglike									
	time like front				208						<disambiguation_form> after									
	big-big	giant			209				enormousness		huge; tremendous; enormous; gigantic; gargantuan; extremely important; giant									
	big-part	majority			210				majority		mostly									
	bend-light-thing	lens	bend-light-thing		211				lens											
	big-number	many			212		In the less common sich where you would say "1000 is a big number" and you don't want to say "1000 is a group", you could say "1000 do be number like big", but this seems like it will rarely cause confusion anyways.	group like big; big-group	a large group; flock; collection; swarm; group; host		plenty; many; much; teeming	to swarm; to teem (with sth)	plenty; many; much							
	middle-number	several			213						several; some									
	small-number	few			214						few; a few; several; a couple (fight me)									
	big-number-time	often	many-time		215			big-see; big-number-see; big-time	frequency		frequent; common; usual; a lot; often									
	small-number-time	unusual	small-number-time		216		DECIDED: "deprecated in favor of "specific" ?" — no, they are OK being different		Oddity; Unusual event		rare; uncommon; infrequent; unusual	to behave oddly								
	me-kind-animal	human	me-kind-animal		217			being-being	<disambiguation_term> human											
	big-container-person	family	house-person		218		aka house-people; 家人		family										家人	
	big-container-animal	pet	house-animal		219		aka house animal		pet										Haustier	
	all-possibility	any			220				anything; unending possibiliy		arbitrary; indetermate; some; any							marks interterminacy		
	one-kind-love	gay	same-love		221			one-kind-love	gayness; homosexuality		gay; homosexual									
	other-way	different			222				difference		different; inequal;									
	one-thing	only			223			no-more .. but more does not have a gloss	purity		only; pure; distilled	to purify sth; to distill sth							no-more (kri, es)	
	no-more	only			224		TODO decide how to deprecate				only									
	one-place	specific		specific	225	492	was an atom, as "one-place" is a bit of a stretch. But it was not used in any compounds, and was therefore demoted.		density; precision; specificity		precise; individual; dense; specific; particular; especially	to specify sth; to concentrate sth; to concentrate on sth (direction thing)							te (zh:0.6:te=particular; id:0.6:tertentu=particular, ja:0.2:tokutei=particular, vi:0.7:cụ thể=particular; fil:0.3:tiyak)	
	one-place-way	special	specific-way		225.6		this is all a bit sus				special									
	one-person	alone			226		like 一个人													
	one-way	same			227		TODO: share and copy should be different	one-kind	equivalent; imitation; copy		same; (in) common	to be the same; to imitate sb/sth; to copy sb/sth; to share sth							one-kind (tpi:wankain)	sama
	no one-way				228		aka not same		differentness		different	to differ (from sth: direction thing)							other-kind (tpi:narakain)	
	number one				229						first									
	number six-seven				230						sixty-seventh									
	number two				231						second									
	number end				232						last									
	one small one				233				1.1											
	six small seven				234				6.7											
	six part seven				235				6/7											
	six-seven	sixty-seven			236				67											
	talk-do	command			237				command; order			to command sb; to order sth								
	truth-truth	truly			238		this is just duplicative strength				truly; really									
	truth-thing	reality			239			truth-self-way	reality; practice (vs theory)		real; realistic; pragmatic; genuine; concrete; physical									
	do think like truth-thing				240						pragmatic; realistic									
	possibility-thing	outcome			241			order-think	outcome											
	hard-do	work			242				work; job; task		worklike	to work (on sth); to operate sth							gong (zh:gong=work)	
	number-time	usual			243		DECIDED: "merge with "kind" ?" — no				usual; customary; typical; normal; usually (used for habitual tenses); common; normal									
	number-time-do	custom	usual-do		244		DONE: consider merging with "kind", aka "typical" ? merge in "frequent"		custom										chang (zh:chang=common, vi:chung=common; ru:часто=often)	
	time-thing	clock			245				clock											
	possibility-think	suspect			246				theory; suspicion			to suspect sth/sb								
	small-possibility-think	doubt	small-suspect		247				doubt			to doubt sth/sb								
	small-possibility	unlikely			248				small chance		doubtful; unlikely									
	big-possibility	likely			249						probably; probable; likely									
	end-number	sufficient			250		aka a complete amount; TODO all-		a sufficient quantity; qualifications		sufficient; enough; eligible; qualified	to be satisfied; to suffice (for sth); to qualify (for sth); to satisfy sb/sth							nyo (ga:gnó=enough; en:enough; ee:gno=sufficient)	
	do link of thing				251							to hang from sth; to be suspended from sth								
	order-time-thing	routine	order-time-thing		252			all-time; order-time	routine; regularity		regular; routined									
	order-do	program			252.5				program; programming											
	order-do-mark	code	program-mark		252.6				code											
	new-use-thing	technology	new-tool		252.7				tech; technology											
	no-life-eat	poison	die-eat		253		; TODO all-		poison											
	give no-life-eat direction person				254							to poison sb								
	end-thing	conclusion			255		"finally" sort of wants to be "end-time" --- but let's unify unify unify		conclusion		final; finally	to conclude sth								
	end-direction	target			256				goal; target; aim		goal; target	to target sth; to aim (at sth)								
leng	link			connect	257	564		connection	link; joint; connection; relationship; bridge; attachment		connected; related; attached; bridged; linked; tied	to connect (to sth/sb); to join sth; to have a relationship with sb/sth; to tie sth; to bind sth							leng (fr:0.6:lian=link; zh:0.7:lian=link; en:0.8:link; vi:0.7:liên kết; fi:0.7:linkki; id:0.2:lampiran=attachment; fi:0.2:liittyvät=related; fi:0.3:liite=attachment; fi:0.2:liitos=joint; pt:0.3:ligar=to tie); pwe (es:puente=bridge); tai (en:tie)	
	link-body	sex			258				sex		sexy; sexual	to have sex (with sb/sth); to have intercourse (with sb/sth)								unpa
	no-link	release			259				release; freedom; relaxation; shot; projectile		wild; free	to free sth; to shoot sth; to release sth; to sling sth; to throw sth; to relax sth								
	no-link-time	leisure	release-time		260				leisure; relaxation; free-time											
kwe	order			order	261	572	"TODO: ""kwe"" is better for ""link"" or string
DONE: could unify with ""string"". Decision: no!"		order; organization; arrangement		orderly; ordered; organized	to arrange sth; to organize sth; to set sth in order							kwe (en:0.1:queue, ms:0.2:kemas=neat/tidy; es:0.2:sequencia/acuerdo; de:0.2:Sequenz; fil:0.2:kaayusan=order; id:0.3:keteraturan=order; sn:0.2:kurongeka=order; te:0.1:క్రమబద్ధమైన=orderly; sw:0.2:kuamuru=ordered)	
	self-order	pattern			262				structure; pattern; design		structured									
	long-order	sequence			263				list; series; sequence			to list sth (out)								
	number-place	index			263.5				index; ordinal											
	good-time-good-no-order	serendipity	good-time-luck		264		?? etymology?		serendipity		serendipitous									
	no-order-play	lottery	random-play		265				lottery; game of chance											
	no-order	random			266				accident; chance; chaos; tangle; mess		random; accidental; chance; chaotic; tangled	to randomize sth; to happen to do sth; to do sth by accident; to bet sth; to wager sth; to mess sth up								
	good-no-order	luck	good-random		267				luck; fortune		lucky; fortunate									
	no-good-no-order	bad_luck	no-luck		268				bad luck		unlucky									
	no-order--four-side-body	dice	random-cube		269		aka random-cube		die/dice											
le	law			official	270	592		official	rule; law		official; legal								le (es:1.0:ley; en:0.2:law; zh:0.2:律/lü=law; pt:1.0:lei=law; it:0.6:legge=law; fr:0.2:loi=law; fi:0.2:lakia/laillinen=law/legal; vi:0.2:luật=law; de:0.2:Regel=rule; fil:0.5:legal=legal; id:0.5:legal=legal;); lai ( IE:l*); la (en:law);	
	law-law	legislative_law			271		aka the "official law"		the law											
	law-energy	power			272				power (e.g. political power or jurisdiction); right (e.g. the right to do sth); control; governance; rights		powerful	to govern sth/sb; to rule sth; to manage sth								
	law-way	standard			272.5				standard		standard; official; standardized	to stndardize sth								
	law-order	policy			273				policy											
	law-part	department			274				department											
	law-type	version			274.4				version; model											
